Row Labels,Average of AVG_DEPTH,Average of Percent_Cvr
Halimeda spp,4.724399849,1.5
MacroOtherCalcareous,4.724399849,1
MacroOtherFleshy,4.724399849,32.5
Magnoliophyta spp,4.724399849,1
Rhodophyta cru. spp,4.724399849,20.5
Turf Algae Free of Sediment,4.724399849,5.5
1244,20.26919935,9.090909091
Agaricia agaricites,20.26919935,2
Bare Substrate,20.26919935,3
Cyanophyta spp,20.26919935,1
Dictyota spp,20.26919935,29
Encrusting gorgonian,20.26919935,5
Lobophora spp,20.26919935,7
MacroOtherFleshy,20.26919935,1
Peysonnellia,20.26919935,1
Porifera spp,20.26919935,4
Siderastrea siderea,20.26919935,2
Turf Algae with Sediment,20.26919935,45
1247,2.743199912,10
Colpophyllia natans,2.743199912,2
Halimeda spp,2.743199912,10
MacroOtherFleshy,2.743199912,3
Millepora spp,2.743199912,1
Orbicella faveolata,2.743199912,5
Peysonnellia,2.743199912,2
Porifera spp,2.743199912,2
Porites astreoides,2.743199912,2
Rhodophyta cru. spp,2.743199912,1
Turf Algae with Sediment,2.743199912,72
1255,11.88719962,11.22222222
Bare Substrate,11.88719962,63.5
Gorgonians,11.88719962,1
Halimeda spp,11.88719962,5
MacroOtherCalcareous,11.88719962,1.5
MacroOtherFleshy,11.88719962,1
Porifera spp,11.88719962,5
Rhodophyta cru. spp,11.88719962,2
Siderastrea siderea,11.88719962,1.5
Turf Algae Free of Sediment,11.88719962,20.5
1256,6.060830575,7.769230769
Bare Substrate,6.438899794,24.75
Dictyota spp,6.438899794,5
Encrusting gorgonian,3.962399873,1
Gorgonians,3.962399873,1
Halimeda spp,6.438899794,7.5
Lobophora spp,8.915399715,2
MacroOtherCalcareous,8.991599712,1
MacroOtherFleshy,6.438899794,20.5
Meandrina meandrites,3.962399873,1
Millepora spp,3.962399873,2
Orbicella faveolata,3.962399873,1
Other species,8.991599712,1
Peysonnellia,6.400799795,7.5
Porifera spp,6.438899794,5.5
Porites astreoides,3.962399873,1
Rhodophyta cru. spp,6.438899794,3
Siderastrea siderea,3.962399873,5
Turf Algae Free of Sediment,8.915399715,7.5
Turf Algae with Sediment,3.962399873,31
1257,6.595109789,10.125
Bare Substrate,6.591299789,25.5
Colpophyllia natans,3.352799893,4
Dictyota spp,9.829799685,4
Gorgonians,6.591299789,1.5
Halimeda spp,6.553199791,13
MacroOtherCalcareous,9.829799685,1.5
Millepora spp,9.829799685,2
Orbicella faveolata,3.352799893,25
Porifera spp,6.591299789,3
Porites astreoides,3.352799893,3
Porites porites,9.905999683,1
Rhodophyta cru. spp,6.629399788,4.5
Siderastrea siderea,3.352799893,2
Turf Algae Free of Sediment,9.829799685,40
Turf Algae with Sediment,3.352799893,25
1265,4.876799844,9.090909091
Cliona spp,4.876799844,1
Dictyota spp,4.876799844,14
Gorgonians,4.876799844,2
Halimeda spp,4.876799844,1
MacroOtherFleshy,4.876799844,8
Peysonnellia,4.876799844,2
Porifera spp,4.876799844,1
Porites astreoides,4.876799844,2
Rhodophyta cru. spp,4.876799844,3
Siderastrea siderea,4.876799844,2
Turf Algae with Sediment,4.876799844,64
1269,13.47046624,5.916666667
Agaricia agaricites,13.56359957,1
Bare Substrate,13.48739957,27
Cyanophyta spp,13.41119957,1
Dictyota spp,13.56359957,4
Erythropodium caribaeorum,13.41119957,1
Gorgonians,13.48739957,1.5
Halimeda spp,13.48739957,8.5
Lobophora spp,13.48739957,2.5
Millepora spp,13.41119957,3
Montastraea cavernosa,13.41119957,1
Orbicella faveolata,13.48739957,9.5
Peysonnellia,13.48739957,2.5
Porifera spp,13.48739957,5.5
Porites astreoides,13.41119957,1
Rhodophyta cru. spp,13.48739957,16.5
Siderastrea siderea,13.48739957,1.5
Stephanocoenia intersepta,13.41119957,1
Turf Algae Free of Sediment,13.48739957,18.5
1270,9.601199693,9.5
Bare Substrate,9.601199693,48.5
Dictyota spp,9.601199693,9
Gorgonians,9.601199693,1
Halimeda spp,9.601199693,3
MacroOtherCalcareous,9.601199693,1
Millepora spp,9.601199693,2
Porifera spp,9.601199693,9
Porites furcata,9.601199693,2
Rhodophyta cru. spp,9.601199693,5.5
Siderastrea siderea,9.601199693,1
Turf Algae Free of Sediment,9.601199693,22.5
1271,12.20372268,7.923076923
Bare Substrate,12.19199961,16
Cyanophyta spp,12.3443996,1
Dictyota spp,12.19199961,19.5
Gorgonians,12.19199961,4
Halimeda spp,12.19199961,1.5
Millepora spp,12.19199961,2.5
Palythoa spp,12.03959961,1
Porifera spp,12.19199961,7
Porites divaricata,12.3443996,1
Rhodophyta cru. spp,12.19199961,1
Siderastrea siderea,12.3443996,1
Stephanocoenia intersepta,12.03959961,2
Turf Algae Free of Sediment,12.19199961,45.5
1272,10.45209967,8.891025641
Bare Substrate,10.43939967,11.38461538
Dichocoenia stokesii,10.51559966,1
Dictyota spp,10.51559966,4
Gorgonians,10.43939967,2.269230769
Millepora spp,10.36319967,2.307692308
Other species,10.36319967,2.307692308
Palythoa spp,10.36319967,0.769230769
Porifera spp,10.43939967,19.34615385
Porites porites,10.51559966,1
Rhodophyta cru. spp,10.51559966,1
Siderastrea siderea,10.51559966,1
Turf Algae Free of Sediment,10.43939967,60.30769231
1282,6.2483998,7.142857143
Acropora cervicornis,6.2483998,3
Bare Substrate,6.2483998,2
Cliona spp,6.2483998,1
Dictyota spp,6.2483998,23
Gorgonians,6.2483998,2
MacroOtherFleshy,6.2483998,3
Meandrina meandrites,6.2483998,2
Millepora spp,6.2483998,1
Palythoa spp,6.2483998,14
Peysonnellia,6.2483998,8
Porifera spp,6.2483998,5
Siderastrea radians,6.2483998,1
Siderastrea siderea,6.2483998,2
Turf Algae with Sediment,6.2483998,33
1284,6.55319979,8.333333333
Bare Substrate,6.55319979,1
Cyanophyta spp,6.55319979,2
Dictyota spp,6.55319979,29
Gorgonians,6.55319979,2
Halimeda spp,6.55319979,1
MacroOtherFleshy,6.55319979,4
Millepora spp,6.55319979,1
Palythoa spp,6.55319979,3
Porifera spp,6.55319979,4
Porites astreoides,6.55319979,1
Siderastrea siderea,6.55319979,2
Turf Algae with Sediment,6.55319979,50
1285,6.945085492,7.464285714
Bare Substrate,6.934199778,20.5
Cyanophyta spp,7.010399776,1
Dictyota spp,6.934199778,21
Erythropodium caribaeorum,7.010399776,1
Gorgonians,6.934199778,1.5
Lobophora spp,7.010399776,1
MacroOtherFleshy,6.934199778,2
Millepora spp,6.934199778,1
Palythoa spp,6.857999781,1
Peysonnellia,7.010399776,4
Porifera spp,6.934199778,3
Rhodophyta cru. spp,6.934199778,3
Siderastrea siderea,6.857999781,1
Turf Algae Free of Sediment,6.934199778,43.5
1286,5.357445982,8.153846154
Bare Substrate,5.333999829,3.5
Cyanophyta spp,5.181599834,2
Dictyota spp,5.333999829,16.5
Erythropodium caribaeorum,5.486399824,1
Gorgonians,5.486399824,3
Halimeda spp,5.486399824,1
Millepora spp,5.333999829,2
Palythoa spp,5.333999829,3
Peysonnellia,5.486399824,1
Porifera spp,5.333999829,2.5
Rhodophyta cru. spp,5.333999829,4
Siderastrea siderea,5.181599834,4
Turf Algae Free of Sediment,5.333999829,62.5
1287,15.46411715,6.294117647
Bare Substrate,15.39239951,16.5
Dictyota spp,15.39239951,11.5
Encrusting gorgonian,15.6971995,1
Erythropodium caribaeorum,15.6971995,2
Gorgonians,15.08759952,3
Halimeda spp,15.08759952,2
Lobophora spp,15.39239951,3.5
MacroOtherFleshy,15.39239951,3
Madracis decactis,15.6971995,1
Millepora spp,15.39239951,1.5
Orbicella faveolata,15.6971995,2
Peysonnellia,15.6971995,1
Porifera spp,15.39239951,11
Rhodophyta cru. spp,15.39239951,3.5
Siderastrea siderea,15.6971995,2
Stephanocoenia intersepta,15.39239951,1
Turf Algae Free of Sediment,15.39239951,41.5
1288,11.29937106,14.5
Bare Substrate,11.20139964,10
Dictyota spp,11.20139964,7
Gorgonians,11.42999963,1
Millepora spp,11.42999963,1
Porifera spp,11.20139964,1.5
Stephanocoenia intersepta,11.42999963,1
Turf Algae Free of Sediment,11.20139964,80
1289,14.32559954,5.75
Bare Substrate,14.32559954,10.5
Dictyota spp,14.32559954,38
Erythropodium caribaeorum,14.63039953,1
Lobophora spp,14.32559954,6
MacroOtherFleshy,14.32559954,2
Meandrina meandrites,14.63039953,2
Millepora spp,14.32559954,2.5
Montastraea cavernosa,14.63039953,1
Other species,14.32559954,1.5
Palythoa spp,14.02079955,1
Peysonnellia,14.32559954,2
Porifera spp,14.32559954,5.5
Porites astreoides,14.02079955,1
Rhodophyta cru. spp,14.32559954,14
Siderastrea radians,14.02079955,1
Siderastrea siderea,14.32559954,2.5
Stephanocoenia intersepta,14.32559954,1.5
Turf Algae Free of Sediment,14.32559954,10.5
1290,14.70659953,6.833333333
Agaricia agaricites,14.63039953,1
Bare Substrate,14.70659953,10
Dictyota spp,14.70659953,37.5
Erythropodium caribaeorum,14.70659953,3
Lobophora spp,14.70659953,17.5
MacroOtherFleshy,14.70659953,4
Millepora spp,14.70659953,1
Other species,14.78279953,2
Peysonnellia,14.70659953,1.5
Porifera spp,14.70659953,8
Porites furcata,14.63039953,1
Rhodophyta cru. spp,14.70659953,9
Siderastrea siderea,14.70659953,1.5
Stephanocoenia intersepta,14.78279953,1
Turf Algae Free of Sediment,14.70659953,4.5
1292,5.791199815,7.884615385
Bare Substrate,5.791199815,3
Dictyota spp,5.791199815,37.5
Gorgonians,5.791199815,1
Halimeda spp,5.791199815,1
MacroOtherFleshy,5.791199815,1
Millepora spp,5.791199815,1
Other species,5.791199815,1
Palythoa spp,5.791199815,4
Peysonnellia,5.791199815,1
Porifera spp,5.791199815,3
Rhodophyta cru. spp,5.791199815,6
Siderastrea siderea,5.791199815,2
Turf Algae Free of Sediment,5.791199815,41
1294,3.657599883,16.66666667
Bare Substrate,3.657599883,19
Dictyota spp,3.657599883,10
Halimeda spp,3.657599883,9
MacroOtherFleshy,3.657599883,15
Porifera spp,3.657599883,1
Turf Algae with Sediment,3.657599883,46
1295,8.503919728,10.25
Bare Substrate,8.839199718,28.5
Dictyota spp,8.762999718,14
Gorgonians,7.315199766,4
Halimeda spp,7.315199766,1
MacroOtherCalcareous,7.315199766,3
MacroOtherFleshy,7.315199766,1
Meandrina meandrites,10.21079967,2
Millepora spp,8.839199718,2.25
Porifera spp,8.839199718,4.5
Rhodophyta cru. spp,8.762999718,4.5
Siderastrea siderea,8.762999718,2
Stephanocoenia intersepta,7.315199766,2
Turf Algae Free of Sediment,10.36319967,41.5
Turf Algae with Sediment,7.315199766,39
1296,8.12291974,10.1
Agaricia agaricites,9.905999683,1
Bare Substrate,7.924799747,17.25
Dictyota spp,7.924799747,7
Gorgonians,9.905999683,2
Halimeda spp,7.924799747,1.5
MacroOtherFleshy,7.924799747,16.5
Magnoliophyta spp,5.94359981,9
Millepora spp,9.905999683,3.5
Palythoa spp,5.94359981,1
Porifera spp,7.924799747,5.5
Rhodophyta cru. spp,9.905999683,1
Siderastrea siderea,9.905999683,1
Stephanocoenia intersepta,5.94359981,1
Turf Algae Free of Sediment,9.905999683,57
Turf Algae with Sediment,5.94359981,30
1297,6.291942656,7.464285714
Bare Substrate,6.400799795,10.5
Colpophyllia natans,4.419599859,1
Dictyota spp,6.438899794,23.5
Erythropodium caribaeorum,4.343399861,1.5
Gorgonians,6.438899794,1.75
Halimeda spp,6.438899794,13.5
MacroOtherFleshy,8.534399727,8
Millepora spp,6.400799795,1.5
Orbicella annularis,4.419599859,6
Orbicella faveolata,4.343399861,19
Peysonnellia,6.438899794,4.5
Porifera spp,6.438899794,2
Porites astreoides,6.438899794,1.5
Porites porites,8.534399727,1
Rhodophyta cru. spp,6.476999793,4
Siderastrea siderea,6.438899794,2.25
Turf Algae Free of Sediment,4.343399861,7.5
Turf Algae with Sediment,8.534399727,35
1298,6.243144628,7.293103448
Agaricia agaricites,9.143999707,1
Bare Substrate,6.743699784,9.5
Colpophyllia natans,4.343399861,4.5
Dictyota spp,6.743699784,38.75
Diploria labyrinthiformis,4.724399849,1
Erythropodium caribaeorum,4.343399861,5
Eusmilia fastigiata,4.724399849,2
Gorgonians,6.934199778,2
Halimeda spp,6.743699784,6
MacroOtherFleshy,9.143999707,7
Millepora spp,9.143999707,1
Montastraea cavernosa,4.724399849,3
Orbicella annularis,3.962399873,1
Orbicella faveolata,4.343399861,9
Other species,4.724399849,1
Peysonnellia,3.962399873,3
Porifera spp,6.934199778,4.5
Rhodophyta cru. spp,4.724399849,2
Siderastrea radians,9.143999707,1
Siderastrea siderea,4.343399861,13
Stephanocoenia intersepta,6.934199778,1.5
Turf Algae Free of Sediment,4.343399861,7.5
Turf Algae with Sediment,9.143999707,25
1299,5.53915367,7.923076923
Bare Substrate,6.59129979,14.5
Colpophyllia natans,3.1241999,1.5
Dichocoenia stokesii,3.200399898,1
Dictyota spp,6.59129979,30
Diploria labyrinthiformis,3.200399898,1
Erythropodium caribaeorum,3.200399898,1
Gorgonians,10.05839968,3
Halimeda spp,3.1241999,16.5
MacroOtherFleshy,10.05839968,6
Montastraea cavernosa,3.200399898,2
Orbicella annularis,3.1241999,5.5
Palythoa spp,10.05839968,2
Porifera spp,6.629399789,1.5
Porites astreoides,3.1241999,1
Pseudodiploria strigosa,3.047999902,5
Rhodophyta cru. spp,3.1241999,4.5
Siderastrea radians,3.1241999,1
Siderastrea siderea,6.59129979,6.75
Stephanocoenia intersepta,3.200399898,1
Turf Algae Free of Sediment,6.59129979,5.75
Turf Algae with Sediment,10.05839968,37
1300,3.505199888,9.772727273
Bare Substrate,3.505199888,2.5
Colpophyllia natans,3.505199888,10
Dictyota spp,3.505199888,22
Diploria labyrinthiformis,3.505199888,2
Erythropodium caribaeorum,3.505199888,1
Halimeda spp,3.505199888,29
Porites astreoides,3.505199888,2
Porites porites,3.505199888,1
Rhodophyta cru. spp,3.505199888,2
Siderastrea siderea,3.505199888,4
Turf Algae Free of Sediment,3.505199888,32
1302,5.687785532,7.535714286
Bare Substrate,5.714999817,8.5
Cyanophyta spp,5.714999817,1.5
Dictyota spp,5.714999817,35
Erythropodium caribaeorum,5.63879982,1
Gorgonians,5.714999817,1.5
Meandrina meandrites,5.63879982,2
Millepora spp,5.63879982,2
Other species,5.791199815,1
Palythoa spp,5.63879982,3
Porifera spp,5.714999817,1.5
Porites porites,5.63879982,1
Rhodophyta cru. spp,5.714999817,5
Siderastrea siderea,5.63879982,1
Turf Algae Free of Sediment,5.714999817,41.5
1303,4.952999842,7.923076923
Bare Substrate,4.952999842,6.5
Dictyota spp,4.952999842,30.5
Gorgonians,4.952999842,3
Meandrina meandrites,4.876799844,1
Millepora spp,4.952999842,1
Other species,4.876799844,1
Palythoa spp,4.952999842,5
Peysonnellia,4.876799844,1
Porifera spp,5.029199839,1
Porites porites,5.029199839,1
Rhodophyta cru. spp,4.952999842,4
Siderastrea siderea,5.029199839,1
Turf Algae Free of Sediment,4.952999842,47
1305,10.36319967,10.45
Bare Substrate,10.36319967,14.5
Dictyota spp,10.36319967,28
Erythropodium caribaeorum,10.66799966,1
Gorgonians,10.36319967,2
Millepora spp,10.66799966,3
Porifera spp,10.36319967,5.5
Rhodophyta cru. spp,10.05839968,2
Siderastrea siderea,10.05839968,3
Stephanocoenia intersepta,10.36319967,1.5
Turf Algae Free of Sediment,10.36319967,44
1306,10.89024965,8.75
Bare Substrate,10.89659965,33.5
Cyanophyta spp,10.82039965,1
Dictyota spp,10.97279965,1
Gorgonians,10.89659965,1.5
Halimeda spp,10.97279965,1
MacroOtherFleshy,10.89659965,1
Millepora spp,10.82039965,4
Palythoa spp,10.82039965,1
Porifera spp,10.89659965,5
Porites astreoides,10.97279965,1
Siderastrea siderea,10.82039965,1
Turf Algae Free of Sediment,10.89659965,54
1312,6.400799795,12.5
Bare Substrate,6.400799795,23
Cliona spp,6.400799795,1
Dictyota spp,6.400799795,18
MacroOtherCalcareous,6.400799795,7
MacroOtherFleshy,6.400799795,1
Porifera spp,6.400799795,2
Siderastrea siderea,6.400799795,1
Turf Algae with Sediment,6.400799795,47
1326,5.791199815,10
Dictyota spp,5.791199815,33
Gorgonians,5.791199815,1
Halimeda spp,5.791199815,2
MacroOtherFleshy,5.791199815,9
Millepora spp,5.791199815,1
Palythoa spp,5.791199815,4
Porifera spp,5.791199815,2
Rhodophyta cru. spp,5.791199815,14
Stephanocoenia intersepta,5.791199815,1
Turf Algae with Sediment,5.791199815,33
1328,24.23159922,5.882352941
Agaricia agaricites,24.23159922,2
Dictyota spp,24.23159922,16
Encrusting gorgonian,24.23159922,1
Gorgonians,24.23159922,1
Lobophora spp,24.23159922,8
MacroOtherFleshy,24.23159922,7
Millepora spp,24.23159922,1
Montastraea cavernosa,24.23159922,1
Other species,24.23159922,5
Peysonnellia,24.23159922,4
Porifera spp,24.23159922,15
Porites astreoides,24.23159922,2
Porites divaricata,24.23159922,1
Rhodophyta cru. spp,24.23159922,7
Siderastrea siderea,24.23159922,3
Stephanocoenia intersepta,24.23159922,2
Turf Algae with Sediment,24.23159922,24
1329,13.86839956,7.692307692
Bare Substrate,13.86839956,2
Dictyota spp,13.86839956,50
Gorgonians,13.86839956,3
MacroOtherCalcareous,13.86839956,1
MacroOtherFleshy,13.86839956,2
Millepora spp,13.86839956,5
Porifera spp,13.86839956,10
Porites astreoides,13.86839956,1
Rhodophyta cru. spp,13.86839956,5
Siderastrea radians,13.86839956,1
Siderastrea siderea,13.86839956,2
Stephanocoenia intersepta,13.86839956,1
Turf Algae with Sediment,13.86839956,17
1330,11.88719962,9.090909091
Bare Substrate,11.88719962,10
Dictyota spp,11.88719962,26
Gorgonians,11.88719962,3
MacroOtherFleshy,11.88719962,16
Millepora spp,11.88719962,3
Peysonnellia,11.88719962,2
Porifera spp,11.88719962,6
Siderastrea radians,11.88719962,1
Siderastrea siderea,11.88719962,3
Stephanocoenia intersepta,11.88719962,1
Turf Algae with Sediment,11.88719962,29
1343,20.11679936,8.333333333
Bare Substrate,20.11679936,21
Colpophyllia natans,20.11679936,4
Cyanophyta spp,20.11679936,1
Dictyota spp,20.11679936,9
Halimeda spp,20.11679936,13
Millepora spp,20.11679936,1
Orbicella faveolata,20.11679936,4
Porifera spp,20.11679936,9
Porites astreoides,20.11679936,2
Rhodophyta cru. spp,20.11679936,3
Siderastrea siderea,20.11679936,1
Turf Algae with Sediment,20.11679936,32
1345,11.58239963,8.333333333
Bare Substrate,11.58239963,1
Dictyota spp,11.58239963,43
Gorgonians,11.58239963,2
Halimeda spp,11.58239963,2
MacroOtherCalcareous,11.58239963,2
MacroOtherFleshy,11.58239963,4
Millepora spp,11.58239963,1
Palythoa spp,11.58239963,1
Porifera spp,11.58239963,6
Rhodophyta cru. spp,11.58239963,4
Siderastrea siderea,11.58239963,2
Turf Algae with Sediment,11.58239963,32
1346,27.58439912,5.555555556
Agaricia agaricites,27.58439912,1
Bare Substrate,27.58439912,8
Cliona spp,27.58439912,2
Dictyota spp,27.58439912,10
Gorgonians,27.58439912,3
Lobophora spp,27.58439912,14
MacroOtherFleshy,27.58439912,8
Montastraea cavernosa,27.58439912,1
Orbicella faveolata,27.58439912,1
Other species,27.58439912,5
Palythoa spp,27.58439912,1
Peysonnellia,27.58439912,13
Porifera spp,27.58439912,11
Porites astreoides,27.58439912,1
Scolymia cubensis,27.58439912,1
Siderastrea radians,27.58439912,2
Stephanocoenia intersepta,27.58439912,2
Turf Algae with Sediment,27.58439912,16
1348,17.32721684,8.695652174
Agaricia agaricites,23.46959925,4
Bare Substrate,15.6209995,12.5
Cyanophyta spp,7.772399751,3
Dictyota spp,23.46959925,6
Gorgonians,15.6209995,3
Lobophora spp,15.6209995,1.5
MacroOtherFleshy,15.6209995,9
Millepora spp,15.6209995,1.5
Palythoa spp,23.46959925,7
Peysonnellia,23.46959925,5
Porifera spp,15.6209995,7.5
Rhodophyta cru. spp,15.6209995,4
Siderastrea siderea,23.46959925,3
Stephanocoenia intersepta,23.46959925,1
Turf Algae with Sediment,15.6209995,46.5
1386,25.75559918,9.090909091
Agaricia agaricites,25.75559918,4
Agaricia lamarcki,25.75559918,1
Bare Substrate,25.75559918,2
Cyanophyta spp,25.75559918,3
Dictyota spp,25.75559918,41
Encrusting gorgonian,25.75559918,2
Porifera spp,25.75559918,11
Porites astreoides,25.75559918,1
Rhodophyta cru. spp,25.75559918,6
Siderastrea siderea,25.75559918,1
Turf Algae with Sediment,25.75559918,28
1387,19.50719938,10
Agaricia agaricites,19.50719938,4
Bare Substrate,19.50719938,12
Dictyota spp,19.50719938,54
Gorgonians,19.50719938,1
Millepora spp,19.50719938,2
Orbicella franksi,19.50719938,1
Porifera spp,19.50719938,3
Rhodophyta cru. spp,19.50719938,5
Siderastrea siderea,19.50719938,2
Turf Algae with Sediment,19.50719938,16
1644,4.743449848,6.5625
Bare Substrate,4.800599846,35.5
Dictyota spp,4.800599846,1
Erythropodium caribaeorum,4.571999854,1
Gorgonians,4.800599846,2
Halimeda spp,4.571999854,1
Magnoliophyta spp,4.571999854,1
Millepora spp,4.800599846,3.5
Porifera spp,4.800599846,4
Porites astreoides,4.571999854,1
Porites divaricata,4.800599846,2.5
Porites furcata,5.029199839,2
Rhodophyta cru. spp,4.800599846,1.5
Siderastrea radians,4.571999854,1
Siderastrea siderea,4.571999854,2
Solenastrea bournoni,5.029199839,1
Turf Algae Free of Sediment,4.800599846,45
1647,5.253317479,6.205882353
Bare Substrate,5.257799832,22.5
Dictyota spp,5.257799832,24
Erythropodium caribaeorum,5.333999829,1
Gorgonians,5.181599834,4
Halimeda spp,5.257799832,2
Lobophora spp,5.181599834,1
MacroOtherFleshy,5.257799832,16
Millepora spp,5.333999829,1
Montastraea cavernosa,5.333999829,1
Peysonnellia,5.257799832,2
Porifera spp,5.257799832,13
Porites divaricata,5.181599834,1
Porites furcata,5.257799832,2.5
Rhodophyta cru. spp,5.257799832,1.5
Siderastrea siderea,5.257799832,2.5
Solenastrea bournoni,5.181599834,2
Turf Algae Free of Sediment,5.257799832,8.5
1651,8.381999732,9.181818182
Bare Substrate,8.381999732,17.5
Dictyota spp,8.381999732,30
Diploria labyrinthiformis,8.381999732,1
Gorgonians,8.381999732,1.5
Halimeda spp,8.381999732,2.5
MacroOtherCalcareous,8.381999732,1.5
Porifera spp,8.381999732,7.5
Porites divaricata,8.381999732,1
Rhodophyta cru. spp,8.381999732,2.5
Siderastrea siderea,8.381999732,1
Turf Algae Free of Sediment,8.381999732,35
1656,11.04899965,7.428571429
Bare Substrate,11.04899965,11.5
Dictyota spp,11.04899965,21
Gorgonians,11.04899965,2
Halimeda spp,11.12519964,1
MacroOtherFleshy,10.97279965,1
Millepora spp,11.04899965,2.5
Peysonnellia,10.97279965,1
Porifera spp,11.04899965,7.5
Porites astreoides,11.12519964,1
Porites porites,11.12519964,1
Rhodophyta cru. spp,11.04899965,3.5
Siderastrea siderea,11.04899965,2
Stephanocoenia intersepta,10.97279965,3
Turf Algae Free of Sediment,11.04899965,46
1663,13.46834957,12.9375
Bare Substrate,13.48739957,50.5
Dictyota spp,13.48739957,21
Millepora spp,13.41119957,1
Porifera spp,13.48739957,4
Porites porites,13.41119957,2
Rhodophyta cru. spp,13.41119957,3
Stephanocoenia intersepta,13.56359957,1
Turf Algae Free of Sediment,13.48739957,21
1671,13.18259958,9.181818182
Bare Substrate,13.18259958,29
Dictyota spp,13.18259958,21
Gorgonians,13.18259958,1
Lobophora spp,13.18259958,5.5
MacroOtherFleshy,13.18259958,5
Millepora spp,13.18259958,2.5
Other species,13.25879958,1
Porifera spp,13.18259958,7
Rhodophyta cru. spp,13.18259958,2.5
Stephanocoenia intersepta,13.10639958,1
Turf Algae Free of Sediment,13.18259958,25.5
1672,11.12519964,10.25
Bare Substrate,11.12519964,13
Dictyota spp,11.12519964,12.5
Gorgonians,11.12519964,1
Lobophora spp,11.12519964,2
MacroOtherFleshy,11.12519964,2.5
Meandrina meandrites,11.12519964,1
Millepora spp,11.12519964,1
Porifera spp,11.12519964,3
Rhodophyta cru. spp,11.12519964,2
Turf Algae Free of Sediment,11.12519964,64.5
1675,6.333066464,11.5
Bare Substrate,6.324599798,12.5
Dictyota spp,6.324599798,40.5
Gorgonians,6.324599798,2.5
Millepora spp,6.400799795,2
Palythoa spp,6.2483998,1
Peysonnellia,6.400799795,4
Porifera spp,6.324599798,2
Rhodophyta cru. spp,6.324599798,5
Turf Algae Free of Sediment,6.324599798,34
1681,2.285999927,13
Bare Substrate,2.285999927,48.5
Dictyota spp,2.285999927,5.5
Halimeda spp,2.285999927,6
MacroOtherFleshy,2.285999927,15
Magnoliophyta spp,2.285999927,8
Porifera spp,2.285999927,1
Rhodophyta cru. spp,2.285999927,2
Turf Algae Free of Sediment,2.285999927,18
Middle Keys,8.745012596,7.96521004
1050,5.333999829,9.090909091
Bare Substrate,5.333999829,2
Gorgonians,5.333999829,28
Lobophora spp,5.333999829,2
Millepora spp,5.333999829,1
Montastraea cavernosa,5.333999829,1
Palythoa spp,5.333999829,1
Porifera spp,5.333999829,8
Porites astreoides,5.333999829,5
Rhodophyta cru. spp,5.333999829,1
Siderastrea siderea,5.333999829,15
Turf Algae with Sediment,5.333999829,36
1053,6.2483998,14.28571429
Bare Substrate,6.2483998,14
Colpophyllia natans,6.2483998,4
MacroOtherFleshy,6.2483998,25
Montastraea cavernosa,6.2483998,2
Siderastrea siderea,6.2483998,14
Stephanocoenia intersepta,6.2483998,2
Turf Algae with Sediment,6.2483998,39
1112,3.047999902,16.66666667
Bare Substrate,3.047999902,36
MacroOtherCalcareous,3.047999902,2
MacroOtherFleshy,3.047999902,8
Other species,3.047999902,3
Rhodophyta cru. spp,3.047999902,26
Turf Algae with Sediment,3.047999902,25
1154,3.962399873,11.11111111
Bare Substrate,3.962399873,11
Dictyota spp,3.962399873,34
Gorgonians,3.962399873,1
Halimeda spp,3.962399873,11
MacroOtherFleshy,3.962399873,8
Porifera spp,3.962399873,9
Rhodophyta cru. spp,3.962399873,2
Siderastrea siderea,3.962399873,1
Turf Algae with Sediment,3.962399873,23
1189,10.36319967,20
Bare Substrate,10.36319967,51
Gorgonians,10.36319967,11
Millepora spp,10.36319967,3
Porifera spp,10.36319967,2
Turf Algae with Sediment,10.36319967,33
1225,5.867399812,7.266666667
Bare Substrate,5.867399812,37
Cliona spp,5.791199815,1
Gorgonians,5.867399812,1.5
Halimeda spp,5.867399812,38.5
MacroOtherCalcareous,5.867399812,2.5
MacroOtherFleshy,5.791199815,4
Millepora spp,5.94359981,1
Montastraea cavernosa,5.94359981,1
Porifera spp,5.867399812,5
Pseudodiploria strigosa,5.791199815,4
Rhodophyta cru. spp,5.867399812,2.5
Siderastrea siderea,5.867399812,4
Solenastrea bournoni,5.791199815,1
Stephanocoenia intersepta,5.94359981,2
Turf Algae Free of Sediment,5.94359981,4
1226,5.710989291,5.684210526
Bare Substrate,5.714999817,8
Colpophyllia natans,5.714999817,2.5
Dichocoenia stokesii,5.791199815,1
Diploria labyrinthiformis,5.63879982,1
Erythropodium caribaeorum,5.714999817,8
Gorgonians,5.63879982,2
Millepora spp,5.63879982,1
Montastraea cavernosa,5.714999817,9
Orbicella faveolata,5.63879982,2
Other species,5.791199815,1
Palythoa spp,5.791199815,8
Peysonnellia,5.714999817,4
Porifera spp,5.714999817,8.5
Porites astreoides,5.714999817,2
Porites porites,5.714999817,2.5
Rhodophyta cru. spp,5.714999817,10
Siderastrea siderea,5.714999817,7.5
Stephanocoenia intersepta,5.714999817,2.5
Turf Algae Free of Sediment,5.714999817,27.5
1227,7.772399751,7.807692308
Bare Substrate,7.772399751,11
Cliona spp,7.772399751,1
Colpophyllia natans,7.772399751,10
Gorgonians,7.772399751,1.5
Montastraea cavernosa,7.772399751,10.5
Peysonnellia,7.772399751,1
