,,x_ses_2,x_ses,X,Season,Trend,random,y,Case,Value
19,4,2.00,0.317,14.400,0.966,0.720,0.058,1.743,Region,Region_3
20,4,2.00,0.333,14.500,0.935,0.725,0.168,1.828,Region,Region_3
21,5,2.50,0.350,14.600,0.895,0.730,0.220,1.845,Region,Region_3
22,5,2.50,0.367,14.700,0.846,0.735,0.235,1.816,Region,Region_3
23,5,2.50,0.383,14.800,0.788,0.740,0.250,1.778,Region,Region_3
24,5,2.50,0.400,14.900,0.723,0.745,0.149,1.617,Region,Region_3
25,5,2.50,0.417,15.000,0.650,0.750,0.030,1.430,Region,Region_3
26,6,3.00,0.433,15.100,0.571,0.755,0.089,1.415,Region,Region_3
27,6,3.00,0.450,15.200,0.486,0.760,0.015,1.261,Region,Region_3
28,6,3.00,0.467,15.300,0.397,0.765,0.131,1.293,Region,Region_3
29,6,3.00,0.483,15.400,0.303,0.770,0.031,1.105,Region,Region_3
30,6,3.00,0.500,15.500,0.206,0.775,0.130,1.111,Region,Region_3
31,7,3.50,0.517,15.600,0.108,0.780,0.180,1.068,Region,Region_3
32,7,3.50,0.533,15.700,0.008,0.785,0.126,0.919,Region,Region_3
33,7,3.50,0.550,15.800,-0.092,0.790,0.063,0.762,Region,Region_3
34,7,3.50,0.567,15.900,-0.191,0.795,0.153,0.757,Region,Region_3
35,7,3.50,0.583,16.000,-0.288,0.800,0.171,0.683,Region,Region_3
36,8,4.00,0.600,16.100,-0.382,0.805,0.225,0.648,Region,Region_3
37,8,4.00,0.617,16.200,-0.472,0.810,0.101,0.439,Region,Region_3
38,8,4.00,0.633,16.300,-0.558,0.815,0.132,0.389,Region,Region_3
39,8,4.00,0.650,16.400,-0.638,0.820,0.053,0.235,Region,Region_3
40,8,4.00,0.667,16.500,-0.712,0.825,0.231,0.345,Region,Region_3
41,9,4.50,0.683,16.600,-0.778,0.830,0.247,0.299,Region,Region_3
42,9,4.50,0.700,16.700,-0.837,0.835,0.169,0.167,Region,Region_3
43,9,4.50,0.717,16.800,-0.888,0.840,0.165,0.118,Region,Region_3
44,9,4.50,0.733,16.900,-0.929,0.845,0.076,-0.008,Region,Region_3
45,9,4.50,0.750,17.000,-0.961,0.850,0.072,-0.039,Region,Region_3
46,10,5.00,0.767,17.100,-0.984,0.855,0.128,-0.001,Region,Region_3
47,10,5.00,0.783,17.200,-0.997,0.860,0.126,-0.011,Region,Region_3
48,10,5.00,0.800,17.300,-1.000,0.865,0.007,-0.128,Region,Region_3
49,10,5.00,0.817,17.400,-0.993,0.870,0.204,0.081,Region,Region_3
50,10,5.00,0.833,17.500,-0.976,0.875,0.044,-0.057,Region,Region_3
51,11,5.50,0.850,17.600,-0.949,0.880,0.054,-0.015,Region,Region_3
52,11,5.50,0.867,17.700,-0.913,0.885,0.094,0.066,Region,Region_3
53,11,5.50,0.883,17.800,-0.867,0.890,0.011,0.033,Region,Region_3
54,11,5.50,0.900,17.900,-0.813,0.895,0.110,0.192,Region,Region_3
55,11,5.50,0.917,18.000,-0.751,0.900,0.173,0.322,Region,Region_3
56,12,6.00,0.933,18.100,-0.681,0.905,0.208,0.432,Region,Region_3
57,12,6.00,0.950,18.200,-0.605,0.910,0.189,0.494,Region,Region_3
58,12,6.00,0.967,18.300,-0.522,0.915,0.019,0.411,Region,Region_3
59,12,6.00,0.983,18.400,-0.435,0.920,0.202,0.687,Region,Region_3
60,12,6.00,1.000,18.500,-0.342,0.925,0.023,0.605,Region,Region_3
61,12,6.00,1.017,18.600,-0.247,0.930,0.053,0.736,Region,Region_3
62,1,0.50,1.033,18.700,-0.149,0.935,0.099,0.885,Region,Region_3
63,12,6.00,1.050,18.800,-0.050,0.940,0.071,0.961,Region,Region_3
1,1,0.50,0.017,0.100,0.100,0.005,0.135,0.240,Region,Region_4
2,1,0.50,0.033,0.200,0.199,0.010,0.059,0.267,Region,Region_4
3,1,0.50,0.050,0.300,0.296,0.015,0.045,0.356,Region,Region_4
4,1,0.50,0.067,0.400,0.389,0.020,0.018,0.428,Region,Region_4
5,1,0.50,0.083,0.500,0.479,0.025,0.153,0.658,Region,Region_4
6,2,1.00,0.100,0.600,0.565,0.030,0.006,0.601,Region,Region_4
7,2,1.00,0.117,0.700,0.644,0.035,0.188,0.867,Region,Region_4
8,2,1.00,0.133,0.800,0.717,0.040,0.212,0.970,Region,Region_4
9,2,1.00,0.150,0.900,0.783,0.045,0.007,0.835,Region,Region_4
10,2,1.00,0.167,1.000,0.841,0.050,0.042,0.934,Region,Region_4
11,3,1.50,0.183,1.100,0.891,0.055,0.227,1.173,Region,Region_4
12,3,1.50,0.200,1.200,0.932,0.060,0.182,1.174,Region,Region_4
13,3,1.50,0.217,1.300,0.964,0.065,0.070,1.099,Region,Region_4
14,3,1.50,0.233,1.400,0.985,0.070,0.160,1.215,Region,Region_4
15,3,1.50,0.250,1.500,0.997,0.075,0.048,1.121,Region,Region_4
16,4,2.00,0.267,1.600,1.000,0.080,0.191,1.271,Region,Region_4
17,4,2.00,0.283,1.700,0.992,0.085,0.122,1.199,Region,Region_4
18,4,2.00,0.300,1.800,0.974,0.090,0.063,1.127,Region,Region_4
19,4,2.00,0.317,1.900,0.946,0.095,0.094,1.136,Region,Region_4
20,4,2.00,0.333,2.000,0.909,0.100,0.243,1.252,Region,Region_4
21,5,2.50,0.350,2.100,0.863,0.105,0.234,1.202,Region,Region_4
22,5,2.50,0.367,2.200,0.808,0.110,0.088,1.006,Region,Region_4
23,5,2.50,0.383,2.300,0.746,0.115,0.077,0.938,Region,Region_4
24,5,2.50,0.400,2.400,0.675,0.120,0.069,0.865,Region,Region_4
25,5,2.50,0.417,2.500,0.598,0.125,0.145,0.868,Region,Region_4
26,6,3.00,0.433,2.600,0.516,0.130,0.116,0.762,Region,Region_4
27,6,3.00,0.450,2.700,0.427,0.135,0.171,0.733,Region,Region_4
28,6,3.00,0.467,2.800,0.335,0.140,0.216,0.691,Region,Region_4
29,6,3.00,0.483,2.900,0.239,0.145,0.147,0.531,Region,Region_4
30,6,3.00,0.500,3.000,0.141,0.150,0.249,0.540,Region,Region_4
31,7,3.50,0.517,3.100,0.042,0.155,0.032,0.229,Region,Region_4
32,7,3.50,0.533,3.200,-0.058,0.160,0.196,0.298,Region,Region_4
33,7,3.50,0.550,3.300,-0.158,0.165,0.055,0.063,Region,Region_4
34,7,3.50,0.567,3.400,-0.256,0.170,0.079,-0.007,Region,Region_4
35,7,3.50,0.583,3.500,-0.351,0.175,0.179,0.003,Region,Region_4
36,8,4.00,0.600,3.600,-0.443,0.180,0.181,-0.082,Region,Region_4
37,8,4.00,0.617,3.700,-0.530,0.185,0.239,-0.106,Region,Region_4
38,8,4.00,0.633,3.800,-0.612,0.190,0.134,-0.288,Region,Region_4
39,8,4.00,0.650,3.900,-0.688,0.195,0.044,-0.449,Region,Region_4
40,8,4.00,0.667,4.000,-0.757,0.200,0.060,-0.497,Region,Region_4
41,9,4.50,0.683,4.100,-0.818,0.205,0.172,-0.441,Region,Region_4
42,9,4.50,0.700,4.200,-0.872,0.210,0.156,-0.506,Region,Region_4
43,9,4.50,0.717,4.300,-0.916,0.215,0.145,-0.556,Region,Region_4
44,9,4.50,0.733,4.400,-0.952,0.220,0.127,-0.604,Region,Region_4
45,9,4.50,0.750,4.500,-0.978,0.225,0.175,-0.578,Region,Region_4
46,10,5.00,0.767,4.600,-0.994,0.230,0.202,-0.561,Region,Region_4
47,10,5.00,0.783,4.700,-1.000,0.235,0.088,-0.677,Region,Region_4
48,10,5.00,0.800,4.800,-0.996,0.240,0.142,-0.614,Region,Region_4
49,10,5.00,0.817,4.900,-0.982,0.245,0.223,-0.515,Region,Region_4
50,10,5.00,0.833,5.000,-0.959,0.250,0.228,-0.481,Region,Region_4
51,11,5.50,0.850,5.100,-0.926,0.255,0.142,-0.528,Region,Region_4
52,11,5.50,0.867,5.200,-0.883,0.260,0.047,-0.576,Region,Region_4
53,11,5.50,0.883,5.300,-0.832,0.265,0.006,-0.561,Region,Region_4
54,11,5.50,0.900,5.400,-0.773,0.270,0.197,-0.306,Region,Region_4
55,11,5.50,0.917,5.500,-0.706,0.275,0.022,-0.408,Region,Region_4
56,12,6.00,0.933,5.600,-0.631,0.280,0.204,-0.147,Region,Region_4
57,12,6.00,0.950,5.700,-0.551,0.285,0.169,-0.097,Region,Region_4
58,12,6.00,0.967,5.800,-0.465,0.290,0.204,0.030,Region,Region_4
59,12,6.00,0.983,5.900,-0.374,0.295,0.013,-0.066,Region,Region_4
60,12,6.00,1.000,6.000,-0.279,0.300,0.217,0.237,Region,Region_4
61,12,6.00,1.017,6.100,-0.182,0.305,0.192,0.315,Region,Region_4
62,1,0.50,1.033,6.200,-0.083,0.310,0.086,0.313,Region,Region_4
1,1,0.50,0.017,6.300,0.017,0.315,0.073,0.405,Region,Region_4
2,1,0.50,0.033,6.400,0.117,0.320,0.065,0.502,Region,Region_4
3,1,0.50,0.050,6.500,0.215,0.325,0.142,0.682,Region,Region_4
4,1,0.50,0.067,6.600,0.312,0.330,0.126,0.767,Region,Region_4
5,1,0.50,0.083,6.700,0.405,0.335,0.111,0.851,Region,Region_4
6,2,1.00,0.100,6.800,0.494,0.340,0.239,1.073,Region,Region_4
7,2,1.00,0.117,6.900,0.578,0.345,0.095,1.018,Region,Region_4
8,2,1.00,0.133,7.000,0.657,0.350,0.131,1.138,Region,Region_4
9,2,1.00,0.150,7.100,0.729,0.355,0.107,1.191,Region,Region_4
10,2,1.00,0.167,7.200,0.794,0.360,0.220,1.374,Region,Region_4
11,3,1.50,0.183,7.300,0.850,0.365,0.086,1.302,Region,Region_4
12,3,1.50,0.200,7.400,0.899,0.370,0.044,1.313,Region,Region_4
13,3,1.50,0.217,7.500,0.938,0.375,0.191,1.504,Region,Region_4
14,3,1.50,0.233,7.600,0.968,0.380,0.018,1.366,Region,Region_4
15,3,1.50,0.250,7.700,0.988,0.385,0.101,1.474,Region,Region_4
16,4,2.00,0.267,7.800,0.999,0.390,0.006,1.395,Region,Region_4
17,4,2.00,0.283,7.900,0.999,0.395,0.202,1.596,Region,Region_4
18,4,2.00,0.300,8.000,0.989,0.400,0.160,1.550,Region,Region_4
19,4,2.00,0.317,8.100,0.970,0.405,0.196,1.571,Region,Region_4
20,4,2.00,0.333,8.200,0.941,0.410,0.124,1.474,Region,Region_4
21,5,2.50,0.350,8.300,0.902,0.415,0.162,1.479,Region,Region_4
22,5,2.50,0.367,8.400,0.855,0.420,0.159,1.434,Region,Region_4
23,5,2.50,0.383,8.500,0.798,0.425,0.131,1.354,Region,Region_4
24,5,2.50,0.400,8.600,0.734,0.430,0.220,1.384,Region,Region_4
25,5,2.50,0.417,8.700,0.663,0.435,0.135,1.233,Region,Region_4
26,6,3.00,0.433,8.800,0.585,0.440,0.051,1.076,Region,Region_4
27,6,3.00,0.450,8.900,0.501,0.445,0.070,1.016,Region,Region_4
28,6,3.00,0.467,9.000,0.412,0.450,0.225,1.087,Region,Region_4
29,6,3.00,0.483,9.100,0.319,0.455,0.009,0.783,Region,Region_4
30,6,3.00,0.500,9.200,0.223,0.460,0.230,0.913,Region,Region_4
31,7,3.50,0.517,9.300,0.124,0.465,0.199,0.788,Region,Region_4
32,7,3.50,0.533,9.400,0.025,0.470,0.037,0.532,Region,Region_4
33,7,3.50,0.550,9.500,-0.075,0.475,0.205,0.605,Region,Region_4
34,7,3.50,0.567,9.600,-0.174,0.480,0.008,0.313,Region,Region_4
35,7,3.50,0.583,9.700,-0.272,0.485,0.224,0.438,Region,Region_4
36,8,4.00,0.600,9.800,-0.366,0.490,0.078,0.202,Region,Region_4
37,8,4.00,0.617,9.900,-0.458,0.495,0.030,0.067,Region,Region_4
38,8,4.00,0.633,10.000,-0.544,0.500,0.095,0.051,Region,Region_4
39,8,4.00,0.650,10.100,-0.625,0.505,0.209,0.089,Region,Region_4
40,8,4.00,0.667,10.200,-0.700,0.510,0.076,-0.114,Region,Region_4
41,9,4.50,0.683,10.300,-0.768,0.515,0.095,-0.157,Region,Region_4
42,9,4.50,0.700,10.400,-0.828,0.520,0.230,-0.077,Region,Region_4
43,9,4.50,0.717,10.500,-0.880,0.525,0.086,-0.269,Region,Region_4
44,9,4.50,0.733,10.600,-0.923,0.530,0.209,-0.184,Region,Region_4
45,9,4.50,0.750,10.700,-0.957,0.535,0.165,-0.257,Region,Region_4
46,10,5.00,0.767,10.800,-0.981,0.540,0.003,-0.438,Region,Region_4
47,10,5.00,0.783,10.900,-0.995,0.545,0.233,-0.217,Region,Region_4
48,10,5.00,0.800,11.000,-1.000,0.550,0.198,-0.252,Region,Region_4
49,10,5.00,0.817,11.100,-0.995,0.555,0.124,-0.316,Region,Region_4
50,10,5.00,0.833,11.200,-0.979,0.560,0.159,-0.260,Region,Region_4
51,11,5.50,0.850,11.300,-0.954,0.565,0.200,-0.189,Region,Region_4
52,11,5.50,0.867,11.400,-0.919,0.570,0.102,-0.248,Region,Region_4
53,11,5.50,0.883,11.500,-0.875,0.575,0.141,-0.160,Region,Region_4
54,11,5.50,0.900,11.600,-0.823,0.580,0.025,-0.218,Region,Region_4
55,11,5.50,0.917,11.700,-0.762,0.585,0.124,-0.053,Region,Region_4
56,12,6.00,0.933,11.800,-0.694,0.590,0.228,0.125,Region,Region_4
57,12,6.00,0.950,11.900,-0.618,0.595,0.115,0.092,Region,Region_4
58,12,6.00,0.967,12.000,-0.537,0.600,0.138,0.202,Region,Region_4
59,12,6.00,0.983,12.100,-0.450,0.605,0.205,0.360,Region,Region_4
60,12,6.00,1.000,12.200,-0.358,0.610,0.171,0.423,Region,Region_4
61,12,6.00,1.017,12.300,-0.263,0.615,0.211,0.562,Region,Region_4
62,1,0.50,1.033,12.400,-0.166,0.620,0.231,0.686,Region,Region_4
63,12,6.00,1.050,12.500,-0.066,0.625,0.199,0.758,Region,Region_4
1,1,0.50,0.017,12.600,0.034,0.630,0.041,0.704,Region,Region_4
2,1,0.50,0.033,12.700,0.133,0.635,0.164,0.932,Region,Region_4
3,1,0.50,0.050,12.800,0.232,0.640,0.074,0.946,Region,Region_4
4,1,0.50,0.067,12.900,0.327,0.645,0.072,1.045,Region,Region_4
5,1,0.50,0.083,13.000,0.420,0.650,0.100,1.170,Region,Region_4
6,2,1.00,0.100,13.100,0.509,0.655,0.200,1.364,Region,Region_4
7,2,1.00,0.117,13.200,0.592,0.660,0.195,1.447,Region,Region_4
8,2,1.00,0.133,13.300,0.670,0.665,0.033,1.367,Region,Region_4
9,2,1.00,0.150,13.400,0.740,0.670,0.140,1.551,Region,Region_4
10,2,1.00,0.167,13.500,0.804,0.675,0.209,1.688,Region,Region_4
11,3,1.50,0.183,13.600,0.859,0.680,0.005,1.544,Region,Region_4
12,3,1.50,0.200,13.700,0.906,0.685,0.130,1.720,Region,Region_4
13,3,1.50,0.217,13.800,0.944,0.690,0.205,1.839,Region,Region_4
14,3,1.50,0.233,13.900,0.972,0.695,0.099,1.766,Region,Region_4
15,3,1.50,0.250,14.000,0.991,0.700,0.130,1.820,Region,Region_4
16,4,2.00,0.267,14.100,0.999,0.705,0.200,1.904,Region,Region_4
17,4,2.00,0.283,14.200,0.998,0.710,0.163,1.871,Region,Region_4
18,4,2.00,0.300,14.300,0.987,0.715,0.241,1.943,Region,Region_4
19,4,2.00,0.317,14.400,0.966,0.720,0.138,1.824,Region,Region_4
20,4,2.00,0.333,14.500,0.935,0.725,0.178,1.838,Region,Region_4
21,5,2.50,0.350,14.600,0.895,0.730,0.088,1.713,Region,Region_4
22,5,2.50,0.367,14.700,0.846,0.735,0.158,1.739,Region,Region_4
23,5,2.50,0.383,14.800,0.788,0.740,0.134,1.662,Region,Region_4
24,5,2.50,0.400,14.900,0.723,0.745,0.139,1.607,Region,Region_4
25,5,2.50,0.417,15.000,0.650,0.750,0.086,1.487,Region,Region_4
26,6,3.00,0.433,15.100,0.571,0.755,0.021,1.348,Region,Region_4
27,6,3.00,0.450,15.200,0.486,0.760,0.210,1.456,Region,Region_4
28,6,3.00,0.467,15.300,0.397,0.765,0.148,1.309,Region,Region_4
29,6,3.00,0.483,15.400,0.303,0.770,0.146,1.219,Region,Region_4
30,6,3.00,0.500,15.500,0.206,0.775,0.049,1.030,Region,Region_4
31,7,3.50,0.517,15.600,0.108,0.780,0.042,0.929,Region,Region_4
32,7,3.50,0.533,15.700,0.008,0.785,0.023,0.816,Region,Region_4
33,7,3.50,0.550,15.800,-0.092,0.790,0.249,0.947,Region,Region_4
34,7,3.50,0.567,15.900,-0.191,0.795,0.222,0.826,Region,Region_4
35,7,3.50,0.583,16.000,-0.288,0.800,0.232,0.744,Region,Region_4
36,8,4.00,0.600,16.100,-0.382,0.805,0.240,0.663,Region,Region_4
37,8,4.00,0.617,16.200,-0.472,0.810,0.199,0.537,Region,Region_4
38,8,4.00,0.633,16.300,-0.558,0.815,0.174,0.431,Region,Region_4
39,8,4.00,0.650,16.400,-0.638,0.820,0.053,0.235,Region,Region_4
40,8,4.00,0.667,16.500,-0.712,0.825,0.167,0.280,Region,Region_4
41,9,4.50,0.683,16.600,-0.778,0.830,0.104,0.156,Region,Region_4
42,9,4.50,0.700,16.700,-0.837,0.835,0.026,0.024,Region,Region_4
43,9,4.50,0.717,16.800,-0.888,0.840,0.053,0.005,Region,Region_4
44,9,4.50,0.733,16.900,-0.929,0.845,0.057,-0.027,Region,Region_4
45,9,4.50,0.750,17.000,-0.961,0.850,0.079,-0.033,Region,Region_4
46,10,5.00,0.767,17.100,-0.984,0.855,0.038,-0.091,Region,Region_4
47,10,5.00,0.783,17.200,-0.997,0.860,0.005,-0.132,Region,Region_4
48,10,5.00,0.800,17.300,-1.000,0.865,0.226,0.092,Region,Region_4
49,10,5.00,0.817,17.400,-0.993,0.870,0.241,0.118,Region,Region_4
50,10,5.00,0.833,17.500,-0.976,0.875,0.185,0.085,Region,Region_4
51,11,5.50,0.850,17.600,-0.949,0.880,0.014,-0.055,Region,Region_4
52,11,5.50,0.867,17.700,-0.913,0.885,0.125,0.098,Region,Region_4
53,11,5.50,0.883,17.800,-0.867,0.890,0.028,0.050,Region,Region_4
54,11,5.50,0.900,17.900,-0.813,0.895,0.017,0.098,Region,Region_4
55,11,5.50,0.917,18.000,-0.751,0.900,0.230,0.379,Region,Region_4
56,12,6.00,0.933,18.100,-0.681,0.905,0.051,0.274,Region,Region_4
57,12,6.00,0.950,18.200,-0.605,0.910,0.211,0.516,Region,Region_4
58,12,6.00,0.967,18.300,-0.522,0.915,0.205,0.598,Region,Region_4
59,12,6.00,0.983,18.400,-0.435,0.920,0.229,0.714,Region,Region_4
60,12,6.00,1.000,18.500,-0.342,0.925,0.044,0.626,Region,Region_4
61,12,6.00,1.017,18.600,-0.247,0.930,0.121,0.804,Region,Region_4
62,1,0.50,1.033,18.700,-0.149,0.935,0.126,0.912,Region,Region_4
63,12,6.00,1.050,18.800,-0.050,0.940,0.132,1.022,Region,Region_4
1,1,0.50,0.017,0.100,0.100,0.005,0.182,0.287,Zone,Inshore
2,1,0.50,0.033,0.200,0.199,0.010,0.073,0.282,Zone,Inshore
3,1,0.50,0.050,0.300,0.296,0.015,0.047,0.357,Zone,Inshore
4,1,0.50,0.067,0.400,0.389,0.020,0.029,0.439,Zone,Inshore
5,1,0.50,0.083,0.500,0.479,0.025,0.136,0.640,Zone,Inshore
6,2,1.00,0.100,0.600,0.565,0.030,0.049,0.644,Zone,Inshore
7,2,1.00,0.117,0.700,0.644,0.035,0.016,0.695,Zone,Inshore
8,2,1.00,0.133,0.800,0.717,0.040,0.024,0.782,Zone,Inshore
9,2,1.00,0.150,0.900,0.783,0.045,0.147,0.975,Zone,Inshore
10,2,1.00,0.167,1.000,0.841,0.050,0.050,0.942,Zone,Inshore
11,3,1.50,0.183,1.100,0.891,0.055,0.173,1.119,Zone,Inshore
12,3,1.50,0.200,1.200,0.932,0.060,0.011,1.003,Zone,Inshore
13,3,1.50,0.217,1.300,0.964,0.065,0.058,1.087,Zone,Inshore
14,3,1.50,0.233,1.400,0.985,0.070,0.052,1.107,Zone,Inshore
15,3,1.50,0.250,1.500,0.997,0.075,0.173,1.246,Zone,Inshore
16,4,2.00,0.267,1.600,1.000,0.080,0.085,1.165,Zone,Inshore
17,4,2.00,0.283,1.700,0.992,0.085,0.173,1.250,Zone,Inshore
18,4,2.00,0.300,1.800,0.974,0.090,0.238,1.302,Zone,Inshore
19,4,2.00,0.317,1.900,0.946,0.095,0.103,1.144,Zone,Inshore
20,4,2.00,0.333,2.000,0.909,0.100,0.068,1.077,Zone,Inshore
21,5,2.50,0.350,2.100,0.863,0.105,0.077,1.046,Zone,Inshore
22,5,2.50,0.367,2.200,0.808,0.110,0.119,1.038,Zone,Inshore
23,5,2.50,0.383,2.300,0.746,0.115,0.005,0.865,Zone,Inshore
24,5,2.50,0.400,2.400,0.675,0.120,0.047,0.842,Zone,Inshore
25,5,2.50,0.417,2.500,0.598,0.125,0.169,0.893,Zone,Inshore
26,6,3.00,0.433,2.600,0.516,0.130,0.105,0.751,Zone,Inshore
27,6,3.00,0.450,2.700,0.427,0.135,0.213,0.776,Zone,Inshore
28,6,3.00,0.467,2.800,0.335,0.140,0.074,0.549,Zone,Inshore
29,6,3.00,0.483,2.900,0.239,0.145,0.211,0.596,Zone,Inshore
30,6,3.00,0.500,3.000,0.141,0.150,0.085,0.376,Zone,Inshore
31,7,3.50,0.517,3.100,0.042,0.155,0.165,0.362,Zone,Inshore
32,7,3.50,0.533,3.200,-0.058,0.160,0.013,0.115,Zone,Inshore
33,7,3.50,0.550,3.300,-0.158,0.165,0.139,0.146,Zone,Inshore
34,7,3.50,0.567,3.400,-0.256,0.170,0.060,-0.026,Zone,Inshore
35,7,3.50,0.583,3.500,-0.351,0.175,0.240,0.064,Zone,Inshore
36,8,4.00,0.600,3.600,-0.443,0.180,0.170,-0.092,Zone,Inshore
37,8,4.00,0.617,3.700,-0.530,0.185,0.080,-0.264,Zone,Inshore
38,8,4.00,0.633,3.800,-0.612,0.190,0.201,-0.221,Zone,Inshore
39,8,4.00,0.650,3.900,-0.688,0.195,0.191,-0.302,Zone,Inshore
40,8,4.00,0.667,4.000,-0.757,0.200,0.028,-0.529,Zone,Inshore
41,9,4.50,0.683,4.100,-0.818,0.205,0.141,-0.473,Zone,Inshore
42,9,4.50,0.700,4.200,-0.872,0.210,0.069,-0.593,Zone,Inshore
43,9,4.50,0.717,4.300,-0.916,0.215,0.098,-0.603,Zone,Inshore
44,9,4.50,0.733,4.400,-0.952,0.220,0.139,-0.593,Zone,Inshore
45,9,4.50,0.750,4.500,-0.978,0.225,0.024,-0.729,Zone,Inshore
46,10,5.00,0.767,4.600,-0.994,0.230,0.128,-0.636,Zone,Inshore
47,10,5.00,0.783,4.700,-1.000,0.235,0.097,-0.667,Zone,Inshore
48,10,5.00,0.800,4.800,-0.996,0.240,0.027,-0.729,Zone,Inshore
49,10,5.00,0.817,4.900,-0.982,0.245,0.160,-0.578,Zone,Inshore
50,10,5.00,0.833,5.000,-0.959,0.250,0.099,-0.609,Zone,Inshore
51,11,5.50,0.850,5.100,-0.926,0.255,0.020,-0.650,Zone,Inshore
52,11,5.50,0.867,5.200,-0.883,0.260,0.199,-0.424,Zone,Inshore
53,11,5.50,0.883,5.300,-0.832,0.265,0.224,-0.343,Zone,Inshore
54,11,5.50,0.900,5.400,-0.773,0.270,0.204,-0.298,Zone,Inshore
55,11,5.50,0.917,5.500,-0.706,0.275,0.049,-0.382,Zone,Inshore
56,12,6.00,0.933,5.600,-0.631,0.280,0.199,-0.153,Zone,Inshore
57,12,6.00,0.950,5.700,-0.551,0.285,0.042,-0.223,Zone,Inshore
58,12,6.00,0.967,5.800,-0.465,0.290,0.052,-0.123,Zone,Inshore
59,12,6.00,0.983,5.900,-0.374,0.295,0.226,0.148,Zone,Inshore
60,12,6.00,1.000,6.000,-0.279,0.300,0.049,0.069,Zone,Inshore
61,12,6.00,1.017,6.100,-0.182,0.305,0.099,0.221,Zone,Inshore
62,1,0.50,1.033,6.200,-0.083,0.310,0.114,0.340,Zone,Inshore
1,1,0.50,0.017,6.300,0.017,0.315,0.184,0.516,Zone,Inshore
2,1,0.50,0.033,6.400,0.117,0.320,0.152,0.588,Zone,Inshore
3,1,0.50,0.050,6.500,0.215,0.325,0.137,0.677,Zone,Inshore
4,1,0.50,0.067,6.600,0.312,0.330,0.143,0.785,Zone,Inshore
5,1,0.50,0.083,6.700,0.405,0.335,0.020,0.760,Zone,Inshore
6,2,1.00,0.100,6.800,0.494,0.340,0.029,0.863,Zone,Inshore
7,2,1.00,0.117,6.900,0.578,0.345,0.070,0.993,Zone,Inshore
8,2,1.00,0.133,7.000,0.657,0.350,0.092,1.099,Zone,Inshore
9,2,1.00,0.150,7.100,0.729,0.355,0.023,1.107,Zone,Inshore
10,2,1.00,0.167,7.200,0.794,0.360,0.172,1.326,Zone,Inshore
11,3,1.50,0.183,7.300,0.850,0.365,0.154,1.370,Zone,Inshore
12,3,1.50,0.200,7.400,0.899,0.370,0.018,1.287,Zone,Inshore
13,3,1.50,0.217,7.500,0.938,0.375,0.029,1.342,Zone,Inshore
14,3,1.50,0.233,7.600,0.968,0.380,0.077,1.425,Zone,Inshore
15,3,1.50,0.250,7.700,0.988,0.385,0.160,1.533,Zone,Inshore
16,4,2.00,0.267,7.800,0.999,0.390,0.234,1.622,Zone,Inshore
17,4,2.00,0.283,7.900,0.999,0.395,0.220,1.614,Zone,Inshore
18,4,2.00,0.300,8.000,0.989,0.400,0.007,1.396,Zone,Inshore
19,4,2.00,0.317,8.100,0.970,0.405,0.089,1.464,Zone,Inshore
20,4,2.00,0.333,8.200,0.941,0.410,0.250,1.600,Zone,Inshore
21,5,2.50,0.350,8.300,0.902,0.415,0.174,1.492,Zone,Inshore
22,5,2.50,0.367,8.400,0.855,0.420,0.045,1.319,Zone,Inshore
23,5,2.50,0.383,8.500,0.798,0.425,0.167,1.390,Zone,Inshore
24,5,2.50,0.400,8.600,0.734,0.430,0.208,1.373,Zone,Inshore
25,5,2.50,0.417,8.700,0.663,0.435,0.134,1.231,Zone,Inshore
26,6,3.00,0.433,8.800,0.585,0.440,0.104,1.129,Zone,Inshore
27,6,3.00,0.450,8.900,0.501,0.445,0.103,1.050,Zone,Inshore
28,6,3.00,0.467,9.000,0.412,0.450,0.071,0.934,Zone,Inshore
29,6,3.00,0.483,9.100,0.319,0.455,0.074,0.848,Zone,Inshore
30,6,3.00,0.500,9.200,0.223,0.460,0.014,0.697,Zone,Inshore
31,7,3.50,0.517,9.300,0.124,0.465,0.192,0.781,Zone,Inshore
32,7,3.50,0.533,9.400,0.025,0.470,0.203,0.697,Zone,Inshore
33,7,3.50,0.550,9.500,-0.075,0.475,0.179,0.579,Zone,Inshore
34,7,3.50,0.567,9.600,-0.174,0.480,0.049,0.355,Zone,Inshore
35,7,3.50,0.583,9.700,-0.272,0.485,0.071,0.284,Zone,Inshore
36,8,4.00,0.600,9.800,-0.366,0.490,0.179,0.302,Zone,Inshore
37,8,4.00,0.617,9.900,-0.458,0.495,0.153,0.191,Zone,Inshore
38,8,4.00,0.633,10.000,-0.544,0.500,0.057,0.013,Zone,Inshore
39,8,4.00,0.650,10.100,-0.625,0.505,0.229,0.109,Zone,Inshore
40,8,4.00,0.667,10.200,-0.700,0.510,0.056,-0.134,Zone,Inshore
41,9,4.50,0.683,10.300,-0.768,0.515,0.199,-0.053,Zone,Inshore
42,9,4.50,0.700,10.400,-0.828,0.520,0.218,-0.090,Zone,Inshore
43,9,4.50,0.717,10.500,-0.880,0.525,0.126,-0.229,Zone,Inshore
44,9,4.50,0.733,10.600,-0.923,0.530,0.041,-0.351,Zone,Inshore
45,9,4.50,0.750,10.700,-0.957,0.535,0.010,-0.412,Zone,Inshore
